Name,Minimum,Average,Maximum,Std Dev
mobile_node_4,0.11111,25.111,45.833,15.166
mobile_node_17,0.11111,23.750,44.167,14.322
mobile_node_16,0.13889,23.583,46.667,14.318
mobile_node_8,0.11111,22.167,42.778,13.291
mobile_node_1,0.11111,21.889,40.278,13.121
mobile_node_5,0.22222,18.750,28.611,10.039
mobile_node_10,0.11111,18.000,32.500,10.322
mobile_node_12,0.19444,17.583,31.111,0.9970
mobile_node_0,0.08333,17.278,29.722,10.143
mobile_node_7,0.11111,17.222,31.389,0.9659
mobile_node_14,0.11111,18.722,33.611,11.213
mobile_node_3,0.22222,20.528,39.167,12.468
mobile_node_13,0.16667, 0.8528,12.778,0.3393
mobile_node_9,0.13889,14.556,27.222,0.8626
mobile_node_2,0.22222,10.083,16.667,0.4320
mobile_node_11,0.13889, 0.7472,10.833,0.2853
mobile_node_15,0.13889, 0.6500,10.556,0.2550
mobile_node_6,0.16667,0.8472,13.889,0.3648
mobile_node_18,0.11111,16.417,30.833,0.9708
